cart_id;customer_id;product_id;quantity;date_added
3501;215;1;1;01/10/2021 01:28
3502;215;23;1;01/10/2021 01:30
3503;215;22;1;01/10/2021 01:36
3504;215;19;1;01/10/2021 01:36
3505;215;20;1;01/10/2021 01:36
3506;215;21;1;01/10/2021 01:36
3507;215;18;1;01/10/2021 01:36
3508;215;17;1;01/10/2021 01:36
3509;215;9;1;01/10/2021 01:39
3510;205;4;1;01/10/2021 09:25
3511;238;8;1;01/10/2021 18:51
3512;245;16;1;02/10/2021 18:18
3513;250;1;1;02/10/2021 21:49
3514;198;3;1;04/10/2021 13:49
3515;198;10;1;04/10/2021 13:52
3516;198;5;1;04/10/2021 13:55
3517;198;6;1;04/10/2021 13:57
3518;32;14;1;04/10/2021 19:55
3519;49;1;1;05/10/2021 09:21
3520;30;1;1;05/10/2021 13:22
3521;261;16;1;05/10/2021 14:07
3522;199;1;1;05/10/2021 15:55
3523;264;9;1;05/10/2021 17:06
3524;264;1;1;05/10/2021 17:06
3525;272;1;1;06/10/2021 10:44
3526;11;1;2;06/10/2021 12:36
3527;277;1;1;06/10/2021 14:05
3528;94;1;1;06/10/2021 17:24
3529;34;11;1;07/10/2021 15:18
3530;289;1;1;07/10/2021 17:57
3531;289;16;1;07/10/2021 17:57
3532;157;1;1;07/10/2021 18:28
3533;299;1;1;08/10/2021 14:09
3534;305;1;1;08/10/2021 18:57
3535;61;1;1;09/10/2021 13:55
3536;312;1;1;09/10/2021 17:29
3537;315;1;1;09/10/2021 21:25
3538;327;13;1;10/10/2021 16:45
3539;86;1;1;11/10/2021 21:02
3540;161;1;1;12/10/2021 13:07
3541;161;10;1;12/10/2021 13:07
3542;343;1;2;13/10/2021 11:20
3543;349;12;1;13/10/2021 16:09
3544;194;1;1;14/10/2021 09:50
3545;359;1;1;14/10/2021 20:27
3546;58;1;1;15/10/2021 09:56
3547;149;4;1;15/10/2021 11:06
3548;207;13;1;15/10/2021 15:17
3549;377;1;1;15/10/2021 19:07
3550;390;1;1;16/10/2021 21:06
3551;151;1;2;18/10/2021 09:56
3552;213;24;1;18/10/2021 13:22
3553;137;1;1;18/10/2021 16:26
3554;332;1;1;18/10/2021 18:44
3555;196;1;1;19/10/2021 09:00
3556;25;2;1;19/10/2021 15:32
3557;25;16;1;19/10/2021 15:32
3558;414;1;1;19/10/2021 16:37
3559;73;1;2;20/10/2021 08:39
3560;422;26;1;20/10/2021 10:55
3561;422;26;1;20/10/2021 10:55
3562;422;15;1;20/10/2021 10:55
3563;422;15;1;20/10/2021 10:55
3564;422;4;1;20/10/2021 10:55
3565;422;4;1;20/10/2021 10:55
3566;433;1;1;20/10/2021 17:08
3567;443;16;1;21/10/2021 09:00
3568;473;1;1;23/10/2021 07:42
3569;479;1;1;23/10/2021 14:15
3570;482;1;1;23/10/2021 14:26
3571;128;16;2;23/10/2021 16:42
3572;485;25;1;23/10/2021 19:08
3573;488;1;1;24/10/2021 11:10
3574;490;1;1;24/10/2021 19:19
3575;496;1;2;24/10/2021 21:33
3576;498;1;1;25/10/2021 09:33
3577;125;26;1;25/10/2021 16:16
3578;509;1;1;25/10/2021 22:59
3579;477;7;1;26/10/2021 17:24
3580;528;1;1;27/10/2021 14:09
3581;54;1;1;27/10/2021 20:08
3582;543;1;1;27/10/2021 23:26
3583;566;1;1;28/10/2021 14:23
3584;568;1;1;28/10/2021 22:51
3585;175;1;2;29/10/2021 09:43
3586;584;1;1;30/10/2021 10:02
3587;594;1;1;30/10/2021 19:20
3588;597;1;1;31/10/2021 10:00
3589;601;16;1;31/10/2021 11:38
